U0061	a
U0103	á
U00E2	ớ
U0062	bờ
U0063	cờ
U0064	dờ
U0111	đờ
U0065	e
U00EA	ê
U0066	ép
U0067	gờ
U0068	hờ
U0069	i
U006A	gi
U006B	ca
U006C	lờ
U006D	mờ
U006E	nờ
U006F	o
U00F4	ô
U01A1	ơ
U0070	pờ
U0071	quy
U0072	rờ
U0073	sờ
U0074	tờ
U0075	u
U01B0	ư
U0076	vờ
U0077	vê kép
U0078	xờ
U0079	i dài
U007A	dét
U0030	không
U0031	một
U0032	hai
U0033	ba
U0034	bốn
U0035	năm
U0036	sáu
U0037	bảy
U0038	tám
U0039	chín
10	mười
11	mười một
12	mười hai
13	mười ba
14	mười bốn
15	mười lăm
16	mười sáu
17	mười bảy
18	mười tám
19	mười chín
20	hai mươi
