5	ActivityInfo	Learn to order numbers.
18	ActivityInfo	Learn to recognize unusual colors.
97	ActivityInfo	Learn to multiply numbers within a limited period of time.
116	ActivityInfo	Find the result of the division within a limited period of time.
132	ActivityInfo	Learn to find the difference between two numbers within a limited period of time.
150	ActivityInfo	Learn to find the sum of two numbers within a limited period of time.
168	ActivityInfo	Logical association practice.
172	ActivityInfo	Develop anticipation and strategy skills.
183	ActivityInfo	Learn the alphabetical order.
193	ActivityInfo	Create an analog electric schema with a real time simulation.
270	ActivityInfo	Discover the keyboard.
274	ActivityInfo	Provide audio-visual feedback when using the mouse to help discovering its usage for young children.
283	ActivityInfo	Learn to match an object with its shape.
288	ActivityInfo	Learn to write a text using a word processor.
306	ActivityInfo	Motor coordination. Conceptual matching.
312	ActivityInfo	Learn to match geometric shapes.
332	ActivityInfo	Practice fine motor skills and basic counting.
361	ActivityInfo	Synchronize left and right hands movements.
371	ActivityInfo	Develop skills in strategic thinking, counting and subtracting.
378	ActivityInfo	To get familiar with the binary number system.
402	ActivityInfo	Let children discover the braille system.
421	ActivityInfo	Practice writing in braille.
426	ActivityInfo	Develop some logical skills (data linking, deduction) and spatial visualization while using calculation.
436	ActivityInfo	Learn how to use a calendar.
495	ActivityInfo	Understand how a canal lock works.
505	ActivityInfo	Build conceptual thinking and enrich knowledge.
583	ActivityInfo	Practice playing checkers.
595	ActivityInfo	Learn to play chess.
614	ActivityInfo	Finish a chess game.
618	ActivityInfo	Learn to recognize the chronology of a story.
681	ActivityInfo	Recognize the name of lowercase letters.
687	ActivityInfo	Recognize the name of uppercase letters.
692	ActivityInfo	Practice using a mouse or touchscreen to touch specific points.
697	ActivityInfo	Practice motor coordination, moving the hand precisely.
705	ActivityInfo	Learn units of time (hours, minutes and seconds). Set the time on an analog clock.
721	ActivityInfo	Learn to mix primary paint colors to match a given color.
740	ActivityInfo	Learn to mix primary light colors to match a given color.
746	ActivityInfo	Practice recognizing different colors.
766	ActivityInfo	Learn how to compare number values.
787	ActivityInfo	Learn how to draw circles and arcs with a compass.
860	ActivityInfo	Practice motor-coordination.
874	ActivityInfo	Develop observation and spatial visualization skills.
903	ActivityInfo	Create a digital logic circuit and simulate it in real time.
1002	ActivityInfo	Discover hypotrochoids and use them as digital painting tools.
1034	ActivityInfo	Learn how to draw letters in a fun way.
1038	ActivityInfo	Learn how to draw numbers in a fun way.
1042	ActivityInfo	Practice counting small quantities.
1055	ActivityInfo	Develop motor coordination skills.
1065	ActivityInfo	Learn to associate animal sounds with the animal name and what the animal looks like.
1105	ActivityInfo	Learn about various monuments from around the world and remember their location.
1260	ActivityInfo	Learn about various wild animals from around the world and remember where they live.
1302	ActivityInfo	Develop a better understanding of the variety of music present in the world.
1331	ActivityInfo	Learn the relationships in a family, according to the lineal system used in most Western societies.
1362	ActivityInfo	Develop anticipation and spatial visualization skills.
1367	ActivityInfo	Learn how to count days and find a date on a calendar.
1398	ActivityInfo	Fine motor coordination.
1402	ActivityInfo	Understand direction and speed.
1406	ActivityInfo	Learn to represent a given fraction of a shape.
1465	ActivityInfo	Learn to write a fraction corresponding to a given fractional representation.
1475	ActivityInfo	Learn algorithms.
1502	ActivityInfo	Learn to locate and place the regions of countries.
1972	ActivityInfo	Learn to locate and place the continents and many countries on the world map.
2196	ActivityInfo	Match letters on the keyboard with letters on the screen.
2200	ActivityInfo	Practice addition, multiplication, division and subtraction.
2223	ActivityInfo	Learn about multiples and factors.
2227	ActivityInfo	Practice addition, subtraction, multiplication and division.
2237	ActivityInfo	Learn about prime numbers.
2241	ActivityInfo	Learn to read a graduated line.
2262	ActivityInfo	Learn to use a graduated line.
2277	ActivityInfo	Learn to identify grammatical classes.
2304	ActivityInfo	Develop your sense of strategy, learn to distinguish colors and memorize relative positions.
2310	ActivityInfo	Move the spaceship to avoid hitting the planets and reach the space station.
2320	ActivityInfo	Learn to calculate using the four operators.
2341	ActivityInfo	Practice decomposed calculation.
2356	ActivityInfo	Practice comparing numbers.
2369	ActivityInfo	Improve your spelling and vocabulary.
2379	ActivityInfo	Develop strategic thinking.
2390	ActivityInfo	Logic-training activity.
2394	ActivityInfo	Enrich your vocabulary and practice reading.
2442	ActivityInfo	Learn to recognize musical instruments.
2475	ActivityInfo	Learn to type on a keyboard.
2479	ActivityInfo	Understand the acceleration caused by the gravity.
2505	ActivityInfo	Enrich your vocabulary in your native language or in a foreign one.
2539	ActivityInfo	Learn addition by adding quantities.
2547	ActivityInfo	Associate the decimal form of a number with its graphic representation.
2560	ActivityInfo	Learn addition with decimal numbers by manipulating their visual representation.
2572	ActivityInfo	Learn subtraction with decimal numbers by manipulating their visual representation.
2587	ActivityInfo	Learn the numbers represented by a single digit and the corresponding quantities.
2601	ActivityInfo	Learn quantities by counting how many oranges are needed to represent the requested quantity.
2613	ActivityInfo	Learn subtraction by counting their result.
2622	ActivityInfo	Using the mouse. Left and right click training.
2626	ActivityInfo	Distinguish right and left hands from different points of view. Spatial representation.
2640	ActivityInfo	Train to find a given letter in words.
2648	ActivityInfo	Develop anticipation, strategy and spatial visualization skills.
2662	ActivityInfo	Remember the order of an event sequence. Learn about the life of Louis Braille.
2680	ActivityInfo	Learn subtraction.
2696	ActivityInfo	Learn addition.
2710	ActivityInfo	Develop spatial visualization and pathfinding skills.
2719	ActivityInfo	Develop spatial visualization, pathfinding and visual memory skills.
2732	ActivityInfo	Ear-training activity.
2740	ActivityInfo	Learn lowercase and uppercase letters.
2751	ActivityInfo	Practice numeration.
2763	ActivityInfo	Practice addition, subtraction, multiplication, division.
2780	ActivityInfo	Practice addition and subtraction.
2787	ActivityInfo	Practice addition.
2803	ActivityInfo	Practice division.
2821	ActivityInfo	Practice subtraction.
2837	ActivityInfo	Practice multiplication and division.
2844	ActivityInfo	Practice multiplication.
2861	ActivityInfo	Train your audio memory.
2867	ActivityInfo	Train your visual memory.
2871	ActivityInfo	Practice reading numbers.
2905	ActivityInfo	GCompris is a high quality educational software suite, including a large number of activities for children aged 2 to 10.
2995	ActivityInfo	Learn to use the mousewheel or the zoom / pinch gesture to zoom in and out.
3013	ActivityInfo	Learn to spell words.
3021	ActivityInfo	Practice counting and money usage.
3035	ActivityInfo	Practice counting and money usage, including cents.
3041	ActivityInfo	Learn how to send and receive messages using the International Morse code.
3062	ActivityInfo	Train your observation and matching skills.
3073	ActivityInfo	Answer questions sent by the teacher.
3080	ActivityInfo	Develop strategic and spatial visualization skills.
3099	ActivityInfo	Develop a good understanding of note position and naming convention. Prepare for the 'Play Piano' and 'Piano Composition' activities.
3110	ActivityInfo	Learn the numerical sequence.
3114	ActivityInfo	Learn to recognize even and odd numbers and their numerical order.
3147	ActivityInfo	Learn to order an event sequence in chronological order.
3154	ActivityInfo	Practice ordering numbers.
3173	ActivityInfo	Practice ordering words to form a meaningful sentence.
3181	ActivityInfo	Develop strategic thinking skills.
3217	ActivityInfo	Develop skills in visualization and map reading, and learn to follow directions.
3246	ActivityInfo	Develop skills in perceiving details.
3252	ActivityInfo	Develop an understanding of music composition, and increase interest in making music with a piano keyboard. This activity covers many fundamental aspects of music, but there is much more to explore about music composition. If you enjoy this activity but want a more advanced tool, try downloading Minuet (https://minuet.kde.org/), an open source software for music education or MuseScore (https://musescore.org), an open source music notation tool.
3353	ActivityInfo	Learn the numerical order.
3361	ActivityInfo	Understand how the piano keyboard can play music as written on the musical staff.
3372	ActivityInfo	Learn to follow a rhythm accurately.
3389	ActivityInfo	Describe the relative position of an object.
3412	ActivityInfo	Learn how to program instructions for moving along a path.
3448	ActivityInfo	Memory training.
3459	ActivityInfo	Reading training in a limited time.
3469	ActivityInfo	Learn to identify a location in a grid and to reproduce a model.
3479	ActivityInfo	Learn to identify a location in a grid and to reproduce a model symmetrically.
3485	ActivityInfo	Learn about an electrical system based on renewable energy.
3498	ActivityInfo	Learn to count intervals.
3508	ActivityInfo	Learn to read and write Roman numerals and convert them to Arabic numerals.
3525	ActivityInfo	Mental calculation, arithmetic equality.
3537	ActivityInfo	Mental calculation, arithmetic equality, unit conversion.
3576	ActivityInfo	Learn to share, practice division.
3635	ActivityInfo	Express your creativity through drawing.
3640	ActivityInfo	Learn about some digital painting tools.
3679	ActivityInfo	Practice counting with a time limit.
3719	ActivityInfo	Learn information about the solar system. If you want to learn more about astronomy, try downloading KStars (https://edu.kde.org/kstars/) or Stellarium (https://stellarium.org/) which are astronomy Free Software.
