advanced_colors	click on the required color
algebra_by	Multiply the two numbers together and type in your answer before the balloon lands in the water
algebra_minus	Subtract the two numbers and type in your answer before the balloon lands in the water
algebra_plus	Add the two numbers together and type in your answer before the balloon lands in the water
algorithm	Click on the missing items on the table and follow the logical sequence displayed above it.
align4	Click on the column where you wish your token to fall and try to align 4 tokens before Tux.
align4_2players	Click on the column where you wish your token to fall and try to align 4 tokens to win.
baby_tangram	Move each puzzle piece, to obtain the completed puzzle. You can change their orientation by clicking on the arrows.
babymatch	Drag and drop the objects matching the pictures
babyshapes	Drag and drop the objects matching the shapes.
bargame	Select the number of balls you wish to place in the holes and then click on the OK button. The winner is the one who hasn't put a ball in the red hole.
braille_alphabets	Click on Tux to start and then re-create the Braille cells.
braille_fun	Create the Braille cell for the letter.
canal_lock	You are responsible for the lock and you must help Tux pass through. Click on the valves to cause either a drop or an increase in the water level, and click on the gates to open or close a path.
chess_partyend	Click on a white chess piece and green boxes will appear to indicate all the movements that piece can make. Try and get the black king into checkmate.
chronos	Slide the pictures into the order that tells the story
click_on_letter	
click_on_letter_up	Click on the required letter. You can listen to it again by clicking on the mouth.
clickanddraw	Click on the selected points and draw
clickgame	Catch the fish before they leave the aquarium.
clockgame	Drag and drop the needles of the clock to display the required time
color_mix	Match the color by moving the sliders on the tubes of paint
color_mix_light	Match the color by moving the sliders on the torches
colors	Click on the right color
crane	 Click on each item in turn, in the blue frame, and move them to reproduce the pattern from the pink frame.
details	Slide the images on their respective targets
enumerate	Count the elements by organizing them then type the answer on your keyboard.
erase	 Clear the window with your sponge and discover the hidden picture.
erase_2clic	Double tap or double click on the bricks to discover the hidden picture
erase_clic	Click or tap on the transparent bricks and discover the hidden picture.
explore_farm_animals	Learn about farmyard animals and the noises that they make.
explore_world_animals	Learn about world animals and locate them on a map.
explore_world_music	Click on the suitcases to learn about music from around the world.
fifteen	Click or drag an element next to a free space, the element will move and release its space. You must put all the pieces in the correct order. The numbers on the pieces can help you.
geo-country	Drag and drop the regions to complete the country maps.
geography	Drag and drop the objects to complete the map.
gletters	Type the letters on your keyboard before they reach the ground.
gnumch-equality	Guide the number eater with the arrow keys to the required numbers and press the space bar to swallow them.
gnumch-factors	Guide the number eater with the arrow keys to the factors of the displayed number and press space to swallow them.
gnumch-inequality	Guide the number eater with the arrow keys to the numbers that are different from the ones displayed and press the space bar to swallow them.
gnumch-multiples	Guide the number eater with the arrow keys to the multiples of the displayed number and press space to swallow them.
gnumch-primes	Guide the number eater with the arrow keys to the prime numbers and press space to swallow them.
guesscount	Use the numbers and operations suggested to find the results proposed above.
guessnumber	Find out the number by typing a number from the range proposed.
hangman	A word is hidden, you must discover it letter by letter.
hanoi	Rebuild the same tower in the empty area as the one you see on the right hand side.
hanoi_real	Rebuild the model tower on the right support. Take care, no disc may be placed atop a smaller disc.
hexagon	Click on the hexagons to find the hidden object, the red zone indicates that you're close to it!
imagename	Drag and drop each item above its name.
instruments	Click on the correct musical instrument.
land_safe	Use the arrow keys to pilot your spaceship safely onto the landing pad.
lang	Select the language you want to learn then review the words before doing the exercises.
leftright	Guess if the picture presents a left or right hand and click on the correct answer.
lightsoff	Click on the lamps to turn them off.
louis-braille	Discover the history of Louis Braille.
magic-hat-minus	Click on the hat. How many stars are still hiding under the hat.
magic-hat-plus	Count the number of stars hidden under the hat and then click on the stars to indicate their number.
maze	Use the arrows keys or swipe the touch screen to help Tux find his way out.
mazeinvisible	Use the arrow keys or swipe the touch screen to guide Tux out. Use the maze icon or the space key to see the map.
mazerelative	Help Tux find his way out. Left and right are used to turn and up to go forward.
melody	Listen to the sound sequence played, and reproduce it by clicking on the xylophone's bars
memory	
memory-enumerate	Match a number card with a card displaying the same number of butterflies.
memory-math-add	
memory-math-add-minus	
memory-math-add-minus-mult-div	
memory-math-add-minus-mult-div-tux	
memory-math-add-minus-tux	
memory-math-add-tux	
memory-math-div	
memory-math-div-tux	
memory-math-minus	Turn over two cards to match the calculation with its answer.
memory-math-minus-tux	
memory-math-mult	
memory-math-mult-div	
memory-math-mult-div-tux	
memory-math-mult-tux	
memory-sound	Click on an audio card and find its double.
memory-sound-tux	
memory-tux	Click on a card and find its double.
memory-wordnumber	Match the numeric with the word.
mining	Looking at the rockwall, you can see a sparkle somewhere. Move the mouse cursor next to this sparkle and use the mousewheel or the zoom gesture to zoom in.
missing-letter	Find the missing letter and complete the word by clicking on one of the letters proposed on the side.
money	Click or tap on the money to pay.
money_back	
money_back_cents	Click on the money at the bottom of the screen to give Tux his change.
money_cents	Click on the money to pay.
mosaic	Put each item at the same place as in the given example.
note_names	Identify the note and press the correct piano key
number_sequence	Draw the picture by touching the numbers in ascending order.
paintings	Catch and drop each piece on the points.
photo_hunter	look at the two pictures carefully and click where you see a difference
piano_composition	Learn to compose piano music using the octaves and the tools presented above the staff.
planegame	Move the helicopter with the arrow keys and catch the numbers in the clouds, in ascending order.
play_piano	Click on the keyboard keys that match the notes that you see and hear
play_rhythm	Click the drum to recreate the rhythm
railroad	Observe the train and then click on the items to set up a similar train
readingh	Read a list of words and say if a given word is in it.
readingv	
redraw	Use the drawing tools to build an identical pattern on the right.
redraw_symmetrical	Use the drawing tools to reproduce symmetrically the pattern on the right.
renewable_energy	Click on the different stages that go to make up the power supply.
reversecount	Click on the domino and validate your choice with the OK button to indicate the number of ice blocks Tux will have to follow to eat a fish.
scalesboard	Drag the weights up to balance the scales.
scalesboard_weight	
smallnumbers	Count the number on the dice and type it on your keyboard before it reaches the ground.
submarine	Drive the submarine to the right end of the screen without colliding with any objects
sudoku	Select a number or a symbol and click its target area. Each symbol must appear only once in a row, in a column and in a subregion if any.
superbrain	Find out the right combination of colors. A dot framed in a black square means that you found the correct colour in the correct position, while a dot framed in a white square means it's the correct colour, but in the wrong position.
tangram	Click on each object to obtain the same figure. You can change their orientation by clicking on the arrows.
target	Click on the target to launch darts, then count your final score!
traffic	Slide the cars to make a space so that the red car can go out of the box.
watercycle	Click on the various active elements that make up the water supply. Then press the shower button for Tux.
wordsgame	Type the words on your keyboard before they reach the ground.
