19	Biết đọc.
98	Bảng nhân từ 1 tới 10.
117	Chia các số nhỏ.
133	Trừ các số nhỏ.
151	Phép cộng đơn giản. Nhận được mặt chữ số.
184	Đọc được chữ cái.
194	Cần hiểu cơ bản về điện.
275	Biết dùng chuột.
307	Vốn hiểu biết đời sống.
372	Biết đếm.
379	Hệ đếm thập phân.
422	Bảng chữ cái chữ nổi.
427	Giải được câu đố này cần kiên nhẫn và khả năng tính toán.
437	Khái niệm tuần, tháng và năm.
506	Kéo được đồ vật bằng chuột hoặc màn hình cảm ứng.
619	Kể được một câu chuyện ngắn.
682	Nhận mặt chữ cái.
693	Di được chuột và bấm đúng vào điểm.
698	Di được chuột hoặc dùng màn hình cảm ứng và bấm đúng chỗ.
706	Khái niệm thời gian.
747	Nhận biết màu sắc.
861	Biết dùng chuột và bàn phím.
904	Cần hiểu cơ bản về điện tử số.
1043	Biết đếm cơ bản.
1106	Biết một số công trình nổi tiếng.
1332	Kỹ năng đọc.
1358	Biết đọc, di chuột và bấm chuột.
1368	Hiểu biết cơ bản về lịch.
2242	Đọc và sắp thứ tự các số.
2305	Phân biệt được màu sắc và hình dạng, có cảm nhận về vị trí.
2321	Biết tính cộng, trừ, nhân và chia.
2342	Biết các phép tính số học.
2395	Biết đọc.
2641	Chính tả, nhận mặt chữ cái.
2681	Phép trừ.
2697	Phép cộng.
2733	Di chuột và bấm chuột.
2741	Biết bảng chữ cái.
2764	Cộng, trừ, nhân, chia.
2781	Phép cộng và phép trừ.
2804	Phép chia.
2818	Phép chia
2838	Phép nhân, phép chia.
2845	Phép nhân.
2906	Một số hoạt động thiên về trò chơi, nhưng vẫn mang tính giáo dục.
2996	Con nên quen với việc di chuột và bấm chuột.
3014	Đọc được từ.
3022	Biết đếm.
3042	Biết bảng chữ cái và chữ số.
3155	Biết đếm.
3191	Dùng chuột: di chuyển, kéo và thả.
3253	Quen với cách gọi tên nốt nhạc.
3362	Biết cách ghi nhạc và khuông nhạc.
3373	Hiểu đơn giản về nhịp điệu trong âm nhạc.
3413	Đọc được chỉ dẫn và suy luận logic để tìm đường.
3499	Đọc được số chấm trên quân đô-mi-nô.
3577	Biết đếm.
3680	Kỹ năng đếm.
3921	Di chuột và bấm chuột, hiểu biết vật lý cơ bản.
3957	Giải được câu đố này cần kiên nhẫn và khả năng suy luận.
3976	Di được chuột, đọc được số và đếm tới 15 ở cấp độ đầu.
3986	Các số từ 1 tới 30 và phép cộng.
3993	Các số từ 1 tới 10 và phép cộng.
4002	Các số từ 1 tới 30 và phép cộng.
4009	Các số từ 1 tới 50 và phép cộng.
4027	Bảng cộng.
4044	Bảng trừ.
4086	Biết dùng bàn phím.
