19	ActivityInfo	Can read.
98	ActivityInfo	Multiplication tables from 1 to 10.
117	ActivityInfo	Division of small numbers.
133	ActivityInfo	Subtraction of small numbers.
151	ActivityInfo	Simple addition. Can recognize written numbers.
184	ActivityInfo	Can decode letters.
194	ActivityInfo	Requires some basic understanding of the concept of electricity.
275	ActivityInfo	Mouse-manipulation.
307	ActivityInfo	Cultural references.
372	ActivityInfo	Ability to count.
379	ActivityInfo	Decimal number system.
422	ActivityInfo	Braille alphabet.
427	ActivityInfo	Completing the puzzle requires patience and arithmetic abilities.
437	ActivityInfo	Concept of week, month and year.
506	ActivityInfo	Can drag items using a mouse or touchscreen.
619	ActivityInfo	Tell a short story.
682	ActivityInfo	Visual letter-recognition.
693	ActivityInfo	Can move the mouse and click accurately on points.
698	ActivityInfo	Can move a mouse or use a touchscreen and click on the correct place.
706	ActivityInfo	The concept of time.
747	ActivityInfo	Identifying colors.
861	ActivityInfo	Mouse/keyboard manipulation.
904	ActivityInfo	Requires some basic understanding of the concept of digital electronics.
1043	ActivityInfo	Basic enumeration.
1106	ActivityInfo	Knowledge of different monuments.
1332	ActivityInfo	Reading skills.
1358	ActivityInfo	Reading, moving and clicking with the mouse.
1368	ActivityInfo	Basics of calendar.
2242	ActivityInfo	Reading and ordering numbers.
2305	ActivityInfo	Ability to distinguish different colors/shapes, sense of positions.
2321	ActivityInfo	Being able to calculate using addition, subtraction, multiplication and division.
2342	ActivityInfo	Knowledge of arithmetic operations.
2395	ActivityInfo	Reading.
2641	ActivityInfo	Spelling, letter recognition.
2681	ActivityInfo	Subtraction.
2697	ActivityInfo	Addition.
2733	ActivityInfo	Move and click the mouse.
2741	ActivityInfo	Knowing alphabets.
2764	ActivityInfo	Addition, subtraction, multiplication, division.
2781	ActivityInfo	Addition and subtraction.
2804	ActivityInfo	Division.
2818	ActivityInfo	Division
2838	ActivityInfo	Multiplication, division.
2845	ActivityInfo	Multiplication.
2906	ActivityInfo	Some of the activities are game orientated, but still educational.
2996	ActivityInfo	You should be familiar with moving the mouse and clicking.
3014	ActivityInfo	Word reading.
3022	ActivityInfo	Can count.
3042	ActivityInfo	Knowledge of alphabets and digits.
3155	ActivityInfo	Counting.
3191	ActivityInfo	Mouse-manipulation: movement, drag and drop.
3253	ActivityInfo	Familiarity with note naming conventions.
3362	ActivityInfo	Knowledge of musical notation and musical staff.
3373	ActivityInfo	Simple understanding of musical rhythm.
3413	ActivityInfo	Can read instructions, and think logically to find a path.
3499	ActivityInfo	Can read numbers on a domino.
3577	ActivityInfo	Know how to count.
3680	ActivityInfo	Counting skills.
3921	ActivityInfo	Move and click using the mouse, physics basics.
3957	ActivityInfo	Completing the puzzle requires patience and logical ability.
3976	ActivityInfo	Can move the mouse, can read numbers and count up to 15 for the first level.
3986	ActivityInfo	Numbers from 1 to 30 and additions.
3993	ActivityInfo	Numbers from 1 to 10 and addition.
4002	ActivityInfo	Numbers from 1 to 30 and addition.
4009	ActivityInfo	Numbers from 1 to 50 and addition.
4027	ActivityInfo	Addition tables.
4044	ActivityInfo	Subtraction tables.
4086	ActivityInfo	Keyboard manipulation.
