3	ActivityInfo	Find the adjacent numbers
16	ActivityInfo	Advanced colors
95	ActivityInfo	Multiplication of numbers
114	ActivityInfo	Division of numbers
130	ActivityInfo	Subtraction of numbers
148	ActivityInfo	Addition of numbers
166	ActivityInfo	Logical associations
170	ActivityInfo	Align four (against Tux)
179	ActivityInfo	Align four (with a friend)
181	ActivityInfo	Alphabet sequence
191	ActivityInfo	Analog electricity
268	ActivityInfo	My first keyboard
272	ActivityInfo	My first mouse
281	ActivityInfo	Simple puzzle
286	ActivityInfo	My first word processor
304	ActivityInfo	Matching items
310	ActivityInfo	Complete the puzzle
330	ActivityInfo	Balance box
359	ActivityInfo	Make the ball go to Tux
369	ActivityInfo	Bargame (against Tux)
374	ActivityInfo	Bargame (with a friend)
376	ActivityInfo	Binary bulbs
400	ActivityInfo	Discover the braille system
419	ActivityInfo	Braille fun
424	ActivityInfo	Calcudoku
434	ActivityInfo	Calendar
493	ActivityInfo	Operate a canal lock
503	ActivityInfo	Categorization
581	ActivityInfo	Play checkers (against Tux)
591	ActivityInfo	Play checkers (with a friend)
593	ActivityInfo	Play chess (against Tux)
610	ActivityInfo	Play chess (with a friend)
612	ActivityInfo	End of chess game
616	ActivityInfo	Chronos
679	ActivityInfo	Click on a lowercase letter
686	ActivityInfo	Click on an uppercase letter
690	ActivityInfo	Click and draw
695	ActivityInfo	Click on me
703	ActivityInfo	Learning clock
719	ActivityInfo	Mixing paint colors
738	ActivityInfo	Mixing light colors
744	ActivityInfo	Colors
764	ActivityInfo	Compare numbers
785	ActivityInfo	Compass
858	ActivityInfo	Build the same model
872	ActivityInfo	Find the details
901	ActivityInfo	Digital electricity
1000	ActivityInfo	Drawing wheels
1032	ActivityInfo	Draw letters
1036	ActivityInfo	Draw numbers
1040	ActivityInfo	Count the items
1053	ActivityInfo	Move the mouse or touch the screen
1057	ActivityInfo	Double tap or double click
1060	ActivityInfo	Click or tap
1063	ActivityInfo	Explore farm animals
1103	ActivityInfo	Explore monuments
1258	ActivityInfo	Explore world animals
1300	ActivityInfo	Explore world music
1329	ActivityInfo	Family
1356	ActivityInfo	Point the relatives
1360	ActivityInfo	The fifteen game
1365	ActivityInfo	Find the day
1396	ActivityInfo	Control the hose-pipe
1400	ActivityInfo	The football game
1404	ActivityInfo	Create the fractions
1463	ActivityInfo	Find the fractions
1473	ActivityInfo	Frieze
1500	ActivityInfo	Locate the region
1970	ActivityInfo	Locate the countries
2194	ActivityInfo	Simple letters
2198	ActivityInfo	Gnumch equality
2221	ActivityInfo	Gnumch factors
2225	ActivityInfo	Gnumch inequality
2232	ActivityInfo	Gnumch multiples
2235	ActivityInfo	Gnumch primes
2239	ActivityInfo	Read a graduated line
2260	ActivityInfo	Use a graduated line
2275	ActivityInfo	Grammatical analysis
2291	ActivityInfo	Grammatical classes
2302	ActivityInfo	Graph coloring
2308	ActivityInfo	Gravity
2318	ActivityInfo	Guess 24
2339	ActivityInfo	Guesscount
2354	ActivityInfo	Guess a number
2367	ActivityInfo	The classic hangman game
2377	ActivityInfo	Simplified Tower of Hanoi
2382	ActivityInfo	The Tower of Hanoi
2388	ActivityInfo	Hexagon
2392	ActivityInfo	Name the image
2440	ActivityInfo	Music instruments
2473	ActivityInfo	Keyboard training
2477	ActivityInfo	Land safe
2503	ActivityInfo	Enrich your vocabulary
2537	ActivityInfo	Learn addition
2545	ActivityInfo	Learn decimal numbers
2558	ActivityInfo	Addition with decimal numbers
2570	ActivityInfo	Subtraction with decimal numbers
2585	ActivityInfo	Learn digits
2599	ActivityInfo	Learn quantities
2611	ActivityInfo	Learn subtraction
2620	ActivityInfo	Mouse click training
2624	ActivityInfo	Find your left and right hands
2638	ActivityInfo	Letter in which word
2646	ActivityInfo	Lights off
2660	ActivityInfo	The history of Louis Braille
2678	ActivityInfo	The magician hat (subtraction)
2694	ActivityInfo	The magician hat (addition)
2708	ActivityInfo	Maze
2717	ActivityInfo	Invisible maze
2724	ActivityInfo	Relative maze
2730	ActivityInfo	Melody
2738	ActivityInfo	Case association memory game against Tux
2747	ActivityInfo	Case association memory game
2749	ActivityInfo	Enumeration memory game
2761	ActivityInfo	All operations memory game against Tux
2776	ActivityInfo	All operations memory game
2778	ActivityInfo	Addition and subtraction memory game against Tux
2783	ActivityInfo	Addition and subtraction memory game
2785	ActivityInfo	Addition memory game against Tux
2799	ActivityInfo	Addition memory game
2801	ActivityInfo	Division memory game against Tux
2816	ActivityInfo	Division memory game
2819	ActivityInfo	Subtraction memory game against Tux
2833	ActivityInfo	Subtraction memory game
2835	ActivityInfo	Multiplication and division memory game against Tux
2840	ActivityInfo	Multiplication and division memory game
2842	ActivityInfo	Multiplication memory game against Tux
2857	ActivityInfo	Multiplication memory game
2859	ActivityInfo	Audio memory game against Tux
2863	ActivityInfo	Audio memory game
2865	ActivityInfo	Memory game with images against Tux
2869	ActivityInfo	Wordnumber memory game
2894	ActivityInfo	Memory game with images
2903	ActivityInfo	GCompris Main Menu
2993	ActivityInfo	Mining for gold
3011	ActivityInfo	Missing letter
3019	ActivityInfo	Money
3031	ActivityInfo	Give Tux his change
3034	ActivityInfo	Give Tux his change, including cents
3036	ActivityInfo	Money with cents
3039	ActivityInfo	Discover the International Morse code
3060	ActivityInfo	Rebuild the mosaic
3071	ActivityInfo	Multiple-choice questions
3078	ActivityInfo	Nine men's morris (against Tux)
3094	ActivityInfo	Nine men's morris (with a friend)
3097	ActivityInfo	Name that note
3108	ActivityInfo	Number sequence
3112	ActivityInfo	Even and odd numbers
3131	ActivityInfo	Ordering letters
3145	ActivityInfo	Ordering chronology
3152	ActivityInfo	Ordering numbers
3171	ActivityInfo	Ordering sentences
3179	ActivityInfo	Play oware (against Tux)
3187	ActivityInfo	Play oware (with a friend)
3189	ActivityInfo	Assemble the puzzle
3215	ActivityInfo	Path decoding
3221	ActivityInfo	Relative path decoding
3224	ActivityInfo	Path encoding
3230	ActivityInfo	Relative path encoding
3232	ActivityInfo	Peg solitaire
3239	ActivityInfo	Penalty kick
3244	ActivityInfo	Photo hunter
3250	ActivityInfo	Piano composition
3351	ActivityInfo	Numerical order
3359	ActivityInfo	Play piano
3370	ActivityInfo	Play rhythm
3387	ActivityInfo	Positions
3410	ActivityInfo	Program the path
3446	ActivityInfo	Railroad
3457	ActivityInfo	Horizontal reading practice
3464	ActivityInfo	Vertical reading practice
3467	ActivityInfo	Redraw the given image
3477	ActivityInfo	Mirror the given image
3483	ActivityInfo	Renewable energy
3496	ActivityInfo	Count intervals
3506	ActivityInfo	Roman numerals
3523	ActivityInfo	Balance the scales properly
3535	ActivityInfo	Balance using the International System of Units
3557	ActivityInfo	Balance using the imperial system of units
3574	ActivityInfo	Share pieces of candy
3633	ActivityInfo	Draw in a grid
3638	ActivityInfo	Sketch
3677	ActivityInfo	Numbers with dice
3699	ActivityInfo	Numbers with dominoes
3717	ActivityInfo	Solar system
3918	ActivityInfo	Pilot a submarine
3954	ActivityInfo	Sudoku
3963	ActivityInfo	Super brain
3969	ActivityInfo	The tangram puzzle game
3973	ActivityInfo	Practice addition with a target game
3983	ActivityInfo	Calculate with ten's complement
3990	ActivityInfo	Find ten's complement
3999	ActivityInfo	Swap ten's complement
4006	ActivityInfo	Use ten's complement
4014	ActivityInfo	Tic tac toe (against Tux)
4019	ActivityInfo	Tic tac toe (with a friend)
4021	ActivityInfo	A sliding-block puzzle game
4024	ActivityInfo	Vertical addition
4041	ActivityInfo	Vertical subtraction
4065	ActivityInfo	Vertical subtraction (compensation)
4068	ActivityInfo	Watercycle
4083	ActivityInfo	Falling words
